"Id","screen_name"
"538097725","@GCDH"
"273943831","@DanielSchlager"
"59805032","@umblaetterer"
"576251130","@M_Mandalka"
"2395082463","@StephaniePalek"
"490720843","@schelbertgeorg"
"750286186392977409","@ACDH_OeAW"
"46347027","@thist_uzh"
"176733810","@annettestr"
"2519843085","@esthet1cs"
"878092579","@wscholger"
"61145089","@msiemund"
"969153536490639361","@cecilie_ras"
"969154442137358336","@LM_Buesken"
"4162410142","@anwagnerdreas"
"15372038","@dpfu"
"932013387164409857","@PRomanZirngibl"
"835093402421166080","@mela_g_s"
"2214719151","@docfnord"
"17427710","@redmer"
"3198095872","@AntjeTheise"
"712180408625078272","@kitodo_org"
"862255007843983360","@keydocuments"
"831814679706087424","@dhd2018"
"916016690420420609","@_epidat"
"2776117148","@stefandumont"
"729979811561656320","@JuliaR2Punkt0"
"3280014502","@hou2zi0"
"867847839757422592","@jktzwnkl"
"214008538","@spinfocl"
"807209252171513856","@DelaLostinDH"
"259301275","@FrueheNeuzeit"
"776823218556530688","@binaliM96"
"1284392876","@sabine_seifert"
"872436119081816065","@fabian_cremer"
"61762488","@christof77"
"3095200871","@FranziDiehr"
"720219120067821568","@thomasS_UniR"
"741053685237682176","@adelheidh4"
"3741645328","@_RToscano_"
"519036960","@MariaRottler"
"2210397950","@annavsk"
"416361675","@CDHTrier"
"865971338","@digicademy"
"267898280","@prometheus_eV"
"159796963","@8urghardt"
"995289067","@caissarl"
"491663397","@StSchulte"
"932747438","@ps_tadler"
"619971187","@TeX4Publication"
"938378933975871488","@NussNia"
"2359520304","@AndreasKuczera"
"2907514331","@AKU_Projekt"
"1454836448","@fthierygeo"
"720244135169536000","@DigHumNRW"
"1421172834","@UWuttke"
"707542471920787457","@rettingklaus"
"391926702","@RappAndrea"
"146204824","@ghowa"
"1878886411","@DARIAHde"
"831803612489728000","@MPoeckelmann"
"101199315","@BerenikeRe"
"967503330066010112","@Real_Person_DH"
"1515973417","@brigrote"
"1346705258","@GabrieleRadecke"
"2785237306","@CLARIN_D"
"529256992","@SibylleSoering"
"725918807252836356","@aaaadhjk1"
"969546447552118786","@dhd2019"
"1429810189","@JCrueger"
"250558059","@Mareike2405"
"839125519945850880","@bermeitinger_b"
"501666080","@GVogeler"
"2838145444","@DH_Graz"
"793879191762636800","@Marcus_Willand"
"4839876503","@LindaBrandt23"
"3130877098","@_LeMoog_"
"400012781","@DHDarmstadt"
"392562349","@ASoeren"
"3065982022","@ngei84"
"2931116931","@CTeyson"
"400024012","@luiseborek"
"713817882","@u_henny"
"821295773207949312","@mark_ashtree"
"59425816","@XqrC"
"3063951376","@steyer_ti"
"400057790","@calgary76"
"89718182","@eumanismo"
"4055563587","@susannehaaf"
"1598324696","@DH_FBK"
"806990049317421056","@digitalheartX"
"1341685472","@roman_klinger"
"1137114974","@DrThomasErnst"
"1870784744","@amertgens"
"229059335","@GaleEMEA"
"161471794","@cneudecker"
"824611550971461632","@UndineRemmes"
"778180340414316546","@autvisum_autnon"
"144832173","@felwert"
"1364869201","@HiebertMatthew"
"2336684419","@fruehe_neuzeit"
"48309940","@alexczmiel"
"2543214114","@ideinfo"
"2345035488","@FrederikeNBR"
"1462609603","@RojasCastroA"
"52341962","@nrchtct"
"1365411722","@PToschka"
"28076637","@hckGGREN"
"2375696683","@linhduned"
"533163305","@DHDInfo"
"974973818","@annamneubert"
"301927950","@Aw_Mueller"
"34967636","@kaischi"
"328994106","@pink_pintera"
"2584673807","@_meyse_"
"1322215166","@BodoRoedel"
"886896647904559105","@GGoetzelmann"
"263559225","@ttrippel"
"581149964","@ChBunnenberg"
"874726905110564864","@LeutnantSchat"
"48298968","@peertrilcke"
"738331107293298692","@monasterium_net"
"964809955","@nubuker"
"3093520294","@Going_Loopy"
"421912290","@AnneBaillot"
"84931753","@ingoboerner"
"773813263075250177","@malenaschneide5"
"4373963417","@ifDHberlin"
"796978097157500928","@KonstanzeMarx"
"4067216717","@telotadh"
"2894392371","@kunsttexteDE"
"173775023","@ms91tru"
"953921398442995712","@juli_krueger"
"168627231","@ferli90"
"708611699008524288","@vranzvischer"
"854700945682419713","@IZdigitalFAU"
"137613839","@vera_anz"
"1627992583","@Nrwtv_eu"
"2370760697","@hahncarolin"
"933713214805700609","@mntcabe"
"2915666614","@KatjaDiederichs"
"14479469","@nikoschuh"
"777784165437702144","@wpippich"
"70908416","@RunaUei9"
"710810293207744513","@TobiasSchlauch"
"826021126853767168","@sfb_dioe"
"3238784939","@FontaneArchiv"
"46862540","@robotmitchum"
"2212848967","@JanaAWolf"
"557562962","@textarchiv"
"503529895","@hkohle"
"402625250","@dta_cthomas"
"973535718","@MircoIocriM"
"2304723590","@IGdJHH"
"3351746919","@fischerdata"
"859827626436898816","@LisaKlaffki"
"847581278492778496","@DigiWissen"
"823242481324195840","@ramon_voges"
"2374479512","@iArtHislab"
"1238815129","@Dem_Scepsis"
"14309386","@mrchristian99"
"3233714533","@GaleEMEAtech"
"849683755476426752","@dennis_friedl"
"183540750","@Jberenike"
"192922869","@SimoneGerhards"
"3303789580","@tabtitabti"
"831564825914400768","@swagunke"
"254793053","@libropesia"
"961597173375922176","@RNasarek"
"14667145","@knagasaki"
"1178843514","@hgkuper"
"930483592009887745","@taiarrano"
"14937469","@v_i_o_l_a"
"775647982754684928","@stdruskat"
"819233706","@Mike_Kestemont"
"2163323475","@dominik_hagmann"
"2692983410","@whatisaletter"
"167023077","@paulineRitter"
"777435871654141952","@nevromeCS"
"917348214449360896","@HandkeinZungen"
"910489097956970497","@dh_hse"
"1343969120","@LaRimadora"
"297862021","@GretaFranzini"
"21243456","@angelikah"
"2277607969","@MrnLmr"
"90324876","@digitalmedieval"
"45586526","@thdolby"
"889756995343052800","@LevkeHarders"
"858656551749529602","@s_kronenwett"
"18848567","@dresden_forscht"
"4185743326","@AmrieDitras"
"1907251543","@frevonvla"
"922885212706570242","@a_splt"
"56184294","@Al_Nagler"
"793588688","@LurchPollin"
"3805444043","@correspSearch"
"2608171524","@MaciejEder"
"2692094678","@peggybockwinkel"
"2902125467","@ZentrumMEM"
"11332442","@cibera"
"227264145","@Twittfontes"
"897492667260702721","@m_munke"
"2813008719","@photopraline"
"849520868464242689","@gedigiupb"
"377954285","@chris_kittel"
"184917701","@popaylove"
"1073610553","@CVertan"
"384748745","@stgrohe"
"425834136","@dehypotheses"
"53151026","@fxru"
"1109490079","@OpenEditionNews"
"1872764083","@OKNRW"
"4024116261","@_mainzed"
"2911549265","@uclab_potsdam"
"2810943158","@arapch"
"449195625","@f_frontini"
"807211822420021248","@katmah42"
"966591314497298432","@MWW_DH"
"3425602487","@ChNunn"
"1563291032","@edirom"
"2306695896","@regestaimperii"
"52062562","@calidius"
"700501170","@bwbohl"
"968849222161321991","@SAG4711"
"1104347432","@OpenSemSearch"
"508013169","@AlexanderLasch"
"3153642201","@paulthaas"
"186394769","@metzler_verlag"
"968748824150859777","@dh_rse"
"376253021","@ClaudineMoulin"
"846330655600525312","@ZHAWLinguistik"
"629155988","@ARockenberger"
"101755795","@GerhardLauer"
"965636892413833217","@elexis_eu"
"742663751934062592","@EstelleSzmidt"
"2615135439","@prellmartin"
"191606021","@kol_t"
"1117790442","@patrick_sahle"
"790552376117714944","@ChristianeBirr"
"1355203866","@true_mxp"
"1377767730","@CerstinMahlow"
"2900844616","@awndlr"
"758241070186631168","@drkeithwilson"
"1395287006","@resonanzfilter"
"2315265308","@HM_ELC"
"259242304","@GermaniaSacra"
"38632947","@MaxKemman"
"748057779827519488","@eDissPlus_Dev"
"714103813","@DNB_Aktuelles"
"968393501863043072","@HybridNarrative"
"1062831254","@karolinedoering"
"382290608","@chriskudella"
"755854671953080320","@prf1z"
"74977676","@torstenroeder"
"2948932869","@Jasmin_B13"
"3409182172","@BClercx"
"3351160931","@LobinAntje"
"150944333","@HNIredaktion"
"370275054","@BjoernGebert"
"4075080083","@esciencestrier"
"50810156","@mr56k"
"143258458","@Osikx"
"2912975613","@the3venthoriz0n"
"4481168962","@salamancaschool"
"4310943263","@gardinensteuer"
"181120578","@Sascha_Foerster"
"6523872","@_stschneider"
"96842110","@Get1pay2"
"750852710","@DominicHarion"
"1926235711","@BarfussAK"
"1381834524","@CJahnz"
"27436295","@jakobfrohmann"
"17557482","@HenningLobin"
"297406480","@GeorgHohmann"
"84055536","@szimr"
"799334329440698368","@BibWiss"
"63461239","@textloop"
"504099308","@HolgSimon"
"3081667534","@ArchivderEKiR"
"1569018049","@digigw"
"2411576834","@HelenMay_"
"2854488851","@guidobaldine"
"964077974","@AntjeDienan"
"941401","@textundblog"
"2785367814","@DFaehle"
"1667841438","@ZetOhEh"
"840133502976774146","@DrWorsTen"
"772100325784317952","@MartinaScholger"
"811925916","@BOAFYOONA"
"928981200152166405","@janapflaeging"
"752687151016476672","@f868_"
"369689042","@GrandjeanMartin"
"37949399","@schassan"
"400234197","@BridMcGrath"
"706852789792710656","@Transkribus"
"3300459346","@Parthenos_EU"
"2420832553","@cesare_blanc"
"219522049","@cmroughan"
"4263939081","@Jule_Arbor"
"2799651442","@bumesi1"
"4704484461","@Konnungsdottir"
"633793808","@MoritzKelber"
"2917823309","@SIBehrens"
"385614098","@arche3000"
"968597538591989760","@ZZUusSQ0mtHyCIx"
"737817296266235904","@boO0Ooshra"
"2981472569","@c_kenneweg"
"508984906","@ameergaa"
"1048202250","@michnat_merkel"
"2941294144","@Shrimo_D"
"48400074","@jtheibault"
"592759276","@MadleenPodewski"
"4482641554","@dhvlab"
"876712760918380544","@FachportalPaed"
"47579868","@wbv_de"
"259945589","@Alcmaion"
"279093831","@armin_volkmann"
"4567815741","@music_enfanthen"
"2382676952","@notesJOR"
"49386593","@oeide"
"896079211","@ihremayestaet"
"964467200","@ehinformation"
"733618225","@JoanBleicher"
"21848601","@joewett"
"583569338","@StephanJanosch"
"6244722","@nilsreiter"
"2289869460","@kaglinka"
"1396817462","@TBreports"
"773489936687304704","@dg_history"
"877052272085262336","@MelinaJander"
"448779526","@ben_tinc"
"2597796918","@AnjaKikaHist"
"1368096319","@AchimLandwehr"
"126617387","@dielindada"
"345310708","@tillgrallert"
"324275810","@55052087"
"254022966","@khyeoum"
"274886363","@mhbeals"
"840921957021433856","@Mig__Ram"
"20529051","@hobohm"
"435624891","@KatrinKultur"
"2347495914","@c_riesen"
"884751439347810305","@BKG_Bielefeld"
"896097298995793920","@dahukdesign"
"2401190942","@AGDIDS"
"752948093503635456","@csae8092"
"91627591","@mizzi_schnyder"
"2152668890","@FU_Berlin"
"1760561","@guenterhack"
"1241108911","@silkebellanger"
"928279705408688128","@BeMattmann"
"709333678925750273","@NanetteRissler"
"826861508613328906","@Kraemer_HB"
"2168094626","@N_Perreaux"
"1491426895","@TorstenHiltmann"
"2569561643","@kivilih"
"2336883944","@jan_kenter"
"2909775886","@Sonja_Gasser"
"42596147","@evimala"
"2601723926","@ThWuebbena"
"2796546986","@wkrauth"
"4446987376","@VegazvaG"
"2460007706","@JojoWeis"
"371233160","@RS24_Official"
"943758324545277952","@ERC_SKILLNET"
"948243710","@HxxxKxxx"
"3213584487","@XQuery"
"311649295","@bkaden"
"2308172222","@hist_estudies"
"1097837820","@SchJulzian"
"875608641981698049","@BibKunstAkadKA"
"48301445","@cutuchiqueno"
"3097680891","@tbyhdgs"
"277007578","@dhiparis"
"38441464","@the_graphr"
"171657904","@rbussche"
"39992557","@robert_we"
"2833657167","@Textpraxis"
"833223234","@pimhuijnen"
"293214318","@eldoderino"
"130791303","@nordholmen"
"741764401494122496","@certior_factus"
"930754078044491776","@RSE_de"
"881127651955617792","@Propylaeum_FID"
"604588656","@Abdulla_Azezan"
"23761309","@ruyhliu"
"700565881","@roewenstrunk"
"1576160984","@mikko_tolonen"
"2576237882","@MrWuerz"
"2494307282","@CoachingProNice"
"114733185","@digiversity"
"1121945502","@arthistoricum"
"3084459683","@herr_tu"
"1731470172","@kilmunbooks"
"1170404948","@ADHOrg"
"434968866","@eadh_org"
"895551406773485568","@ScanTent"
"4363534095","@DigitalClassOnl"
"4343558595","@S_P_Brandt"
"254688171","@bepfl"
"29823416","@johannaberg"
"2834179913","@nausicaa_ulysse"
"1688883667","@yale_dhwg"
"1734421802","@StraussTobias"
"855935530588090368","@mungo_s_park"
"88944075","@laurentromary"
"440025627","@larifarian"
"922844515358126080","@MadVrh"
"730737482153795584","@HelsinkiDH"
"3130669605","@MAPubli"
"788050637074403328","@agnes_dober"
"4008445576","@DHiNorden"
"882933522931089411","@CzADH"
"1901655595","@CCeHum"
"262185271","@up2kukuk"
"52349626","@StabiHH"
"1702037515","@WoodChivalry"
"966422798","@Fabio_Ciotti"
"922452265360863232","@nicolepalliwoda"
"372253844","@MartinOstrowsk1"
"583703759","@Bu_Lehm"
"17352285","@texttheater"
"793035919091785728","@BL_IndianPrint"
"14332082","@mahendra_mahey"
"2911564642","@CHPrager"
"3816037815","@dhjblum"
"21244243","@Basterus"
"3369545157","@Elmar_Gracher"
"2432161802","@Elnok_L"
"963150529089085440","@MedievalUnknown"
"605198446","@braunmat"
"2236525422","@write2gether"
"1479697020","@Peter_Bell77"
"267198756","@ankrjoe"
"247594540","@quadrismegistus"
